# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.0.0 Build 200 06/17/2014 SJ Full Version
# File: D:\PCO_exp\PCO_complex\output_files\PCO_comolex.csv
# Generated on: Thu Dec 10 17:09:04 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
A1,Input,PIN_D17,7,B7_N0,,,,,
D[7],Input,PIN_B13,7,B7_N3,,,,,
D[6],Input,PIN_B10,8,B8_N0,,,,,
D[5],Input,PIN_B9,8,B8_N0,,,,,
D[4],Input,PIN_B8,8,B8_N1,,,,,
D[3],Input,PIN_B7,8,B8_N1,,,,,
D[2],Input,PIN_B6,8,B8_N1,,,,,
D[1],Input,PIN_B5,8,B8_N2,,,,,
D[0],Input,PIN_B4,8,B8_N3,,,,,
HEX0[6],Output,PIN_H22,6,B6_N3,,,,,
HEX0[5],Output,PIN_H21,6,B6_N2,,,,,
HEX0[4],Output,PIN_C20,6,B6_N0,,,,,
HEX0[3],Output,PIN_C19,7,B7_N0,,,,,
HEX0[2],Output,PIN_F21,6,B6_N2,,,,,
HEX0[1],Output,PIN_F22,6,B6_N2,,,,,
HEX0[0],Output,PIN_E21,6,B6_N1,,,,,
HEX1[6],Output,PIN_K21,6,B6_N3,,,,,
HEX1[5],Output,PIN_L22,6,B6_N3,,,,,
HEX1[4],Output,PIN_D20,6,B6_N0,,,,,
HEX1[3],Output,PIN_D19,7,B7_N0,,,,,
HEX1[2],Output,PIN_K22,6,B6_N3,,,,,
HEX1[1],Output,PIN_J21,6,B6_N3,,,,,
HEX1[0],Output,PIN_J22,6,B6_N3,,,,,
HEX2[6],Output,PIN_N22,5,B5_N0,,,,,
HEX2[5],Output,PIN_N21,5,B5_N0,,,,,
HEX2[4],Output,PIN_F20,6,B6_N1,,,,,
HEX2[3],Output,PIN_F19,6,B6_N1,,,,,
HEX2[2],Output,PIN_M21,5,B5_N0,,,,,
HEX2[1],Output,PIN_M22,5,B5_N0,,,,,
HEX2[0],Output,PIN_L21,6,B6_N3,,,,,
HEX3[6],Output,PIN_R21,5,B5_N1,,,,,
HEX3[5],Output,PIN_U22,5,B5_N2,,,,,
HEX3[4],Output,PIN_H20,6,B6_N1,,,,,
HEX3[3],Output,PIN_H19,6,B6_N1,,,,,
HEX3[2],Output,PIN_R22,5,B5_N1,,,,,
HEX3[1],Output,PIN_P21,5,B5_N1,,,,,
HEX3[0],Output,PIN_P22,5,B5_N1,,,,,
HEX4[6],Output,PIN_W22,5,B5_N2,,,,,
HEX4[5],Output,PIN_W21,5,B5_N2,,,,,
HEX4[4],Output,PIN_M20,5,B5_N0,,,,,
HEX4[3],Output,PIN_M19,5,B5_N0,,,,,
HEX4[2],Output,PIN_V21,5,B5_N2,,,,,
HEX4[1],Output,PIN_V22,5,B5_N2,,,,,
HEX4[0],Output,PIN_U21,5,B5_N1,,,,,
HEX5[6],Output,PIN_AB20,4,B4_N0,,,,,
HEX5[5],Output,PIN_AA20,4,B4_N0,,,,,
HEX5[4],Output,PIN_N20,5,B5_N1,,,,,
HEX5[3],Output,PIN_N19,5,B5_N1,,,,,
HEX5[2],Output,PIN_AA21,5,B5_N3,,,,,
HEX5[1],Output,PIN_Y21,5,B5_N2,,,,,
HEX5[0],Output,PIN_Y22,5,B5_N3,,,,,
HEX6[6],Output,PIN_AA18,4,B4_N1,,,,,
HEX6[5],Output,PIN_AB17,4,B4_N1,,,,,
HEX6[4],Output,PIN_R19,5,B5_N1,,,,,
HEX6[3],Output,PIN_P20,5,B5_N1,,,,,
HEX6[2],Output,PIN_AB18,4,B4_N1,,,,,
HEX6[1],Output,PIN_AA19,4,B4_N1,,,,,
HEX6[0],Output,PIN_AB19,4,B4_N1,,,,,
HEX7[6],Output,PIN_AB15,4,B4_N3,,,,,
HEX7[5],Output,PIN_AA15,4,B4_N3,,,,,
HEX7[4],Output,PIN_U20,5,B5_N2,,,,,
HEX7[3],Output,PIN_R20,5,B5_N2,,,,,
HEX7[2],Output,PIN_AA16,4,B4_N2,,,,,
HEX7[1],Output,PIN_AB16,4,B4_N2,,,,,
HEX7[0],Output,PIN_AA17,4,B4_N1,,,,,
SW1,Input,PIN_C21,6,B6_N0,,,,,
SW2,Input,PIN_D21,6,B6_N1,,,,,
SW_choose,Input,PIN_B21,6,B6_N0,,,,,
acbus_led,Output,PIN_C1,1,B1_N1,,,,,
acdbus[7],Output,,,,,,,,
acdbus[6],Output,,,,,,,,
acdbus[5],Output,,,,,,,,
acdbus[4],Output,,,,,,,,
acdbus[3],Output,,,,,,,,
acdbus[2],Output,,,,,,,,
acdbus[1],Output,,,,,,,,
acdbus[0],Output,,,,,,,,
acload_led,Output,PIN_A6,8,B8_N1,,,,,
addr[15],Output,,,,,,,,
addr[14],Output,,,,,,,,
addr[13],Output,,,,,,,,
addr[12],Output,,,,,,,,
addr[11],Output,,,,,,,,
addr[10],Output,,,,,,,,
addr[9],Output,,,,,,,,
addr[8],Output,,,,,,,,
addr[7],Output,,,,,,,,
addr[6],Output,,,,,,,,
addr[5],Output,,,,,,,,
addr[4],Output,,,,,,,,
addr[3],Output,,,,,,,,
addr[2],Output,,,,,,,,
addr[1],Output,,,,,,,,
addr[0],Output,,,,,,,,
arinc_led,Output,PIN_A15,7,B7_N2,,,,,
arload_led,Output,PIN_A16,7,B7_N2,,,,,
busmem_led,Output,PIN_D2,1,B1_N1,,,,,
check_out[7],Output,,,,,,,,
check_out[6],Output,,,,,,,,
check_out[5],Output,,,,,,,,
check_out[4],Output,,,,,,,,
check_out[3],Output,,,,,,,,
check_out[2],Output,,,,,,,,
check_out[1],Output,,,,,,,,
check_out[0],Output,,,,,,,,
clk,Input,PIN_T22,5,B5_N0,,,,,
clr_led,Output,PIN_E1,1,B1_N1,,,,,
cpustate_led[1],Output,PIN_E22,6,B6_N1,,,,,
cpustate_led[0],Output,PIN_D22,6,B6_N1,,,,,
data[7],Output,,,,,,,,
data[6],Output,,,,,,,,
data[5],Output,,,,,,,,
data[4],Output,,,,,,,,
data[3],Output,,,,,,,,
data[2],Output,,,,,,,,
data[1],Output,,,,,,,,
data[0],Output,,,,,,,,
drhbus_led,Output,PIN_B3,8,B8_N3,,,,,
drlbus_led,Output,PIN_A3,8,B8_N3,,,,,
drload_led,Output,PIN_A10,8,B8_N0,,,,,
irload_led,Output,PIN_A8,8,B8_N0,,,,,
membus_led,Output,PIN_C2,1,B1_N1,,,,,
pcbus_led,Output,PIN_A4,8,B8_N2,,,,,
pcinc_led,Output,PIN_A14,7,B7_N3,,,,,
pcload_led,Output,PIN_A13,7,B7_N3,,,,,
quick_low_led,Output,PIN_C22,6,B6_N1,,,,,
rambus[7],Output,,,,,,,,
rambus[6],Output,,,,,,,,
rambus[5],Output,,,,,,,,
rambus[4],Output,,,,,,,,
rambus[3],Output,,,,,,,,
rambus[2],Output,,,,,,,,
rambus[1],Output,,,,,,,,
rambus[0],Output,,,,,,,,
rbus_led,Output,PIN_B2,1,B1_N0,,,,,
rdbus[7],Output,,,,,,,,
rdbus[6],Output,,,,,,,,
rdbus[5],Output,,,,,,,,
rdbus[4],Output,,,,,,,,
rdbus[3],Output,,,,,,,,
rdbus[2],Output,,,,,,,,
rdbus[1],Output,,,,,,,,
rdbus[0],Output,,,,,,,,
read_led,Output,PIN_A18,7,B7_N1,,,,,
rload_led,Output,PIN_A7,8,B8_N1,,,,,
rst,Input,PIN_C17,7,B7_N1,,,,,
trbus_led,Output,PIN_B1,1,B1_N0,,,,,
trload_led,Output,PIN_A9,8,B8_N0,,,,,
write_led,Output,PIN_A17,7,B7_N1,,,,,
zload_led,Output,PIN_A5,8,B8_N2,,,,,
